3972136 2425195 4263070 2991690
3063440 2824421 2870962 2380928
982575 3224220 883832 2000000
3987876 3879097 4101142 3623324
2202219 115239 2756860 -955842
2337255 2939761 2870962 2380928
1942286 3935612 2942943 3548053
228100 3955166 -7488 4058847
2114394 2368537 2870962 2380928
3658485 2855273 4263070 2991690
3731843 3995527 4101142 3623324
1311535 1294676 883832 2000000
3533617 3590533 4101142 3623324
341495 287725 110643 -1160614
1533864 2131620 883832 2000000
1179951 1876387 883832 2000000
3403590 1619877 2870962 2380928
2756782 3344622 2942943 3548053
14753 3818113 -7488 4058847
3808841 388411 4559391 972750
3129774 3401225 2942943 3548053
2710780 3978709 2942943 3548053
88084 2475915 883832 2000000
2503969 3564612 2942943 3548053
3954448 3360708 4101142 3623324
2724475 1736595 2870962 2380928
